sample,value,step,direction,file,Step
Gb_FS_MPA_22V2_s_51_F1_filt.fastq.gz,61408,Tabled,Both,Both,FUSION
Gb_NOR_17Q2_s_01_F1_filt.fastq.gz,82544,Tabled,Both,Both,FUSION
Gb_NOR_18R2_s_02_F1_filt.fastq.gz,46109,Tabled,Both,Both,FUSION
Gb_NOR_1A7_s_03_F1_filt.fastq.gz,35681,Tabled,Both,Both,FUSION
Gb_NwK_12L5_s_27_F1_filt.fastq.gz,35155,Tabled,Both,Both,FUSION
Gb_NwK_21U5_s_28_F1_filt.fastq.gz,49364,Tabled,Both,Both,FUSION
Gb_OK_289_d_02_F1_filt.fastq.gz,47546,Tabled,Both,Both,FUSION
Gb_RSB_MPA_13M4_d_74_F1_filt.fastq.gz,27321,Tabled,Both,Both,FUSION
Gb_RSB_MPA_13M5_d_72_F1_filt.fastq.gz,40565,Tabled,Both,Both,FUSION
Gb_RSB_MPA_18R4_d_73_F1_filt.fastq.gz,49073,Tabled,Both,Both,FUSION
Gb_SRT_1A5_s_23_F1_filt.fastq.gz,77389,Tabled,Both,Both,FUSION
Gb_SRT_8H5_s_22_F1_filt.fastq.gz,69699,Tabled,Both,Both,FUSION
Gb_Sva_20T5_s_25_F1_filt.fastq.gz,44979,Tabled,Both,Both,FUSION
Gb_Sva_7G6_s_26_F1_filt.fastq.gz,35632,Tabled,Both,Both,FUSION
Gb_Sw_15O5_s_21_F1_filt.fastq.gz,99360,Tabled,Both,Both,FUSION
Gb_Sw_22V6_s_06_F1_filt.fastq.gz,68912,Tabled,Both,Both,FUSION
Gh_Can_M_Trip8-75.5_d_66_F1_filt.fastq.gz,77874,Tabled,Both,Both,FUSION
Gh_Can_M_Trip8-75.7_d_67_F1_filt.fastq.gz,86021,Tabled,Both,Both,FUSION
Gh_Can_M_Trip8-75.8_d_68_F1_filt.fastq.gz,66265,Tabled,Both,Both,FUSION
Gh_Ice_A11-641-B_s_25_F1_filt.fastq.gz,145033,Tabled,Both,Both,FUSION
Gh_Ice_ME85-3-1123-2-C_d_59_F1_filt.fastq.gz,89405,Tabled,Both,Both,FUSION
Gh_Ice_ME85-3-1123-B_d_60_F1_filt.fastq.gz,125483,Tabled,Both,Both,FUSION
Gh_Ice_ME85-3-1132-A_s_32_F1_filt.fastq.gz,131291,Tabled,Both,Both,FUSION
Gh_JMR-SM_AGT03-26_d_93_F1_filt.fastq.gz,83514,Tabled,Both,Both,FUSION
Gh_JMR_DR01-A_d_87_F1_filt.fastq.gz,62879,Tabled,Both,Both,FUSION
Gh_JMR_DR01-B_d_88_F1_filt.fastq.gz,72399,Tabled,Both,Both,FUSION
Gh_JMR_DR01-C_d_89_F1_filt.fastq.gz,63292,Tabled,Both,Both,FUSION
Gh_JMR_DR05-1-A_s_85_F1_filt.fastq.gz,70788,Tabled,Both,Both,FUSION
Gh_JMR_DR05-1-B_s_86_F1_filt.fastq.gz,67272,Tabled,Both,Both,FUSION
Gh_KS_193.1_d_79_F1_filt.fastq.gz,41107,Tabled,Both,Both,FUSION
Gh_KS_193.2_d_81_F1_filt.fastq.gz,114958,Tabled,Both,Both,FUSION
Gh_KS_197.1_s_57_F1_filt.fastq.gz,86903,Tabled,Both,Both,FUSION
Gh_KS_200.5_s_58_F1_filt.fastq.gz,62223,Tabled,Both,Both,FUSION
Gh_OK_293_d_01_F1_filt.fastq.gz,113666,Tabled,Both,Both,FUSION
Gh_SM_AGT07-22.10_s_28_F1_filt.fastq.gz,89966,Tabled,Both,Both,FUSION
Gh_SM_AGT07-22.2_s_56_F1_filt.fastq.gz,83909,Tabled,Both,Both,FUSION
Gh_SM_AGT07-22.3_s_27_F1_filt.fastq.gz,53607,Tabled,Both,Both,FUSION
Gh_SM_ROV12-11.2_d_29_F1_filt.fastq.gz,34315,Tabled,Both,Both,FUSION
Gh_SM_ROV19-11_d_30_F1_filt.fastq.gz,70693,Tabled,Both,Both,FUSION
Gh_Sva_100_d_82_F1_filt.fastq.gz,83073,Tabled,Both,Both,FUSION
Gh_Sva_101_d_84_F1_filt.fastq.gz,118257,Tabled,Both,Both,FUSION
Gh_Sva_62_s_31_F1_filt.fastq.gz,31239,Tabled,Both,Both,FUSION
Gh_Vst_011TVG-004B_d_92_F1_filt.fastq.gz,53404,Tabled,Both,Both,FUSION
Gh_Vst_019TVG-003B_d_90_F1_filt.fastq.gz,109246,Tabled,Both,Both,FUSION
Gh_Vst_019TVG-010B_d_91_F1_filt.fastq.gz,54751,Tabled,Both,Both,FUSION
Gh_Vst_045TVG-005B_i_61_F1_filt.fastq.gz,117397,Tabled,Both,Both,FUSION
